time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffSp,HtgPct,OccClgSp,OccHtgSp,RmSp,RmTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp
2025-01-27 14:30:00,151.5,0.0,54.0,87.53,152.56,70.0,100.0,74.0,70.0,0.0,67.83500000000001,67.0,69.0,68.0,68.0
2025-01-27 14:45:00,152.56,0.0,54.16666666666666,87.83666666666666,152.56,70.0,100.0,74.0,70.0,0.0,67.94,67.0,69.0,68.0,68.0
2025-01-27 15:00:00,151.14666666666668,0.0,54.333333333333336,88.13,152.56,70.0,100.0,74.0,70.0,0.0,68.16666666666667,67.0,69.0,68.0,68.0
2025-01-27 15:15:00,151.14666666666668,0.0,54.16666666666666,88.54333333333334,152.56,70.0,100.0,74.0,70.0,0.0,68.36,67.0,69.0,68.0,68.0
2025-01-27 15:30:00,152.56,0.0,54.333333333333336,88.77,152.56,70.0,100.0,74.0,70.0,0.0,68.49333333333334,67.0,69.0,68.0,68.0
2025-01-27 15:45:00,150.44,0.0,54.333333333333336,89.06,152.56,70.0,100.0,74.0,70.0,0.0,68.45666666666666,67.0,69.0,68.0,68.0
2025-01-27 16:00:00,151.85333333333332,0.0,54.5,89.16333333333334,152.56,70.0,100.0,74.0,70.0,0.0,68.53666666666668,67.0,69.0,68.0,68.0
2025-01-27 16:15:00,152.56,0.0,54.333333333333336,89.41333333333334,152.56,70.0,100.0,74.0,70.0,0.0,68.44333333333333,67.0,69.0,68.0,68.0
2025-01-27 16:30:00,152.56,0.0,54.16666666666666,89.70666666666666,152.56,70.0,100.0,74.0,70.0,0.0,68.45,67.0,69.0,68.0,68.0
2025-01-27 16:45:00,151.14666666666668,0.0,54.5,89.98333333333333,152.56,70.0,100.0,74.0,70.0,0.0,68.51,67.0,69.0,68.0,68.0
2025-01-27 17:00:00,151.14666666666668,0.0,54.333333333333336,90.14,152.56,70.0,100.0,74.0,70.0,0.0,68.54666666666667,67.0,69.0,68.0,68.0
2025-01-27 17:15:00,151.14666666666668,0.0,54.16666666666666,90.28333333333336,152.56,70.0,100.0,74.0,70.0,0.0,68.59,67.0,69.0,68.0,68.0
2025-01-27 17:30:00,153.26666666666668,0.0,54.0,90.44,152.56,70.0,100.0,74.0,70.0,0.0,68.59666666666668,67.0,69.0,68.0,68.0
2025-01-27 17:45:00,151.5,0.0,54.75,90.995,152.56,70.0,100.0,74.0,70.0,0.0,68.61,67.0,69.0,68.0,68.0
2025-01-27 18:30:00,152.56,0.0,53.5,89.94,152.56,70.0,87.18,74.0,70.0,0.0,70.39,67.0,69.0,68.0,68.0
2025-01-27 18:45:00,151.5,0.0,54.75,90.115,152.56,70.0,89.68,74.0,70.0,0.0,70.13,67.0,69.0,68.0,68.0
2025-01-27 19:15:00,150.44,0.0,53.5,91.85,152.56,70.0,100.0,74.0,70.0,0.0,69.57,67.0,69.0,68.0,68.0
2025-01-27 19:45:00,156.8,0.0,54.5,91.13,152.56,70.0,93.75,74.0,70.0,0.0,70.27,67.0,69.0,68.0,68.0
2025-01-27 20:15:00,150.44,0.0,52.5,92.08,152.56,70.0,100.0,74.0,70.0,0.0,69.98,67.0,69.0,68.0,68.0
2025-01-28 14:30:00,151.5,0.0,55.75,90.93,152.56,70.0,100.0,74.0,70.0,0.0,69.15,67.0,69.0,68.0,68.0
2025-01-28 14:45:00,152.56,0.0,55.66666666666666,91.13666666666666,152.56,70.0,100.0,74.0,70.0,0.0,69.27333333333333,67.0,69.0,68.0,68.0
2025-01-28 15:00:00,152.56,0.0,55.833333333333336,91.26666666666668,152.56,70.0,100.0,74.0,70.0,0.0,69.28666666666668,67.0,69.0,68.0,68.0
2025-01-28 15:15:00,149.73333333333332,0.0,55.333333333333336,91.44666666666669,152.56,70.0,100.0,74.0,70.0,0.0,69.35666666666667,67.0,69.0,68.0,68.0
2025-01-28 15:30:00,154.68,0.0,56.5,91.56333333333332,152.56,70.0,100.0,74.0,70.0,0.0,69.40666666666668,67.0,69.0,68.0,68.0
2025-01-28 15:45:00,151.85333333333332,0.0,56.5,91.86666666666667,152.56,70.0,100.0,74.0,70.0,0.0,69.39666666666666,67.0,69.0,68.0,68.0
2025-01-28 16:00:00,151.85333333333332,0.0,56.16666666666666,92.04666666666668,152.56,70.0,100.0,74.0,70.0,0.0,69.41333333333334,67.0,69.0,68.0,68.0
2025-01-28 16:15:00,151.14666666666668,0.0,56.333333333333336,92.43,152.56,70.0,100.0,74.0,70.0,0.0,69.6,67.0,69.0,68.0,68.0
2025-01-28 16:30:00,153.26666666666668,0.0,56.5,92.61333333333334,152.56,70.0,100.0,74.0,70.0,0.0,69.67,67.0,69.0,68.0,68.0
2025-01-28 16:45:00,150.44,0.0,56.333333333333336,92.81666666666666,152.56,70.0,100.0,74.0,70.0,0.0,69.69,67.0,69.0,68.0,68.0
2025-01-28 17:00:00,150.44,0.0,56.66666666666666,93.15666666666668,152.56,70.0,100.0,74.0,70.0,0.0,69.69,67.0,69.0,68.0,68.0
2025-01-28 17:15:00,153.26666666666668,0.0,56.66666666666666,93.29,152.56,70.0,100.0,74.0,70.0,0.0,69.82666666666667,67.0,69.0,68.0,68.0
2025-01-28 17:30:00,151.14666666666668,0.0,57.0,93.54666666666668,152.56,70.0,100.0,74.0,70.0,0.0,69.87666666666667,67.0,69.0,68.0,68.0
2025-01-28 17:45:00,150.44,0.0,57.0,93.99,152.56,70.0,100.0,74.0,70.0,0.0,69.89666666666666,67.0,69.0,68.0,68.0
2025-01-28 18:00:00,153.97333333333333,0.0,57.16666666666666,94.29666666666668,152.56,70.0,99.73333333333332,74.0,70.0,0.0,69.99666666666667,67.0,69.0,68.0,68.0
2025-01-28 18:15:00,150.44,0.0,56.5,94.49666666666668,152.56,70.0,99.96,74.0,70.0,0.0,69.98,67.0,69.0,68.0,68.0
2025-01-28 18:30:00,149.73333333333332,0.0,56.833333333333336,93.77666666666666,152.56,70.0,87.39666666666666,74.0,70.0,0.0,70.52,67.0,69.0,68.0,68.0
2025-01-28 18:45:00,149.73333333333332,0.0,56.66666666666666,89.69333333333334,152.56,70.0,69.87666666666667,74.0,70.0,0.0,71.08666666666666,67.0,69.0,68.0,68.0
2025-01-28 19:00:00,151.85333333333332,0.0,57.16666666666666,91.19333333333331,152.56,70.0,77.06,74.0,70.0,0.0,70.38333333333334,67.0,69.0,68.0,68.0
2025-01-28 19:15:00,149.02666666666667,0.0,56.833333333333336,92.69,152.56,70.0,81.09666666666668,74.0,70.0,0.0,70.12333333333333,67.0,69.0,68.0,68.0
2025-01-28 19:30:00,151.85333333333332,0.0,56.5,92.83,152.56,70.0,80.67,74.0,70.0,0.0,70.09666666666668,67.0,69.0,68.0,68.0
2025-01-28 19:45:00,151.85333333333332,0.0,56.5,92.68,152.56,70.0,80.15666666666667,74.0,70.0,0.0,70.10333333333334,67.0,69.0,68.0,68.0
2025-01-28 20:00:00,151.85333333333332,0.0,56.333333333333336,92.63666666666668,152.56,70.0,77.99000000000001,74.0,70.0,0.0,70.14666666666666,67.0,69.0,68.0,68.0
2025-01-28 20:15:00,149.73333333333332,0.0,56.0,92.1,152.56,70.0,75.37333333333333,74.0,70.0,0.0,70.21333333333332,67.0,69.0,68.0,68.0
2025-01-28 20:30:00,152.56,0.0,55.333333333333336,90.21333333333332,152.56,70.0,67.78,74.0,70.0,0.0,70.50333333333333,67.0,69.0,68.0,68.0
2025-01-28 20:45:00,151.85333333333332,0.0,55.333333333333336,82.66333333333334,152.56,70.0,49.01,74.0,70.0,0.0,71.09666666666666,67.0,69.0,68.0,68.0
2025-01-28 21:00:00,152.56,0.0,55.833333333333336,76.39999999999999,152.56,70.0,33.22,74.0,70.0,0.0,71.41333333333334,67.0,69.0,68.0,68.0
2025-01-28 21:15:00,151.14666666666668,0.0,55.333333333333336,71.01666666666667,152.56,70.0,16.866666666666664,74.0,70.0,0.0,71.65333333333334,67.0,69.0,68.0,68.0
2025-01-28 21:30:00,152.56,0.0,55.333333333333336,63.39000000000001,152.56,70.0,2.2133333333333334,74.0,70.0,0.0,71.77333333333333,67.0,69.0,68.0,68.0
2025-01-28 21:45:00,151.14666666666668,0.0,55.16666666666666,62.91333333333333,152.56,70.0,24.266666666666666,74.0,70.0,0.0,70.20666666666666,67.0,69.0,68.0,68.0
2025-01-28 22:00:00,150.44,0.0,54.16666666666666,68.74,152.56,70.0,31.473333333333333,74.0,70.0,0.0,69.85,67.0,69.0,68.0,68.0
2025-01-28 22:15:00,151.85333333333332,0.0,55.16666666666666,71.27,152.56,70.0,39.85333333333333,74.0,70.0,0.0,69.52333333333333,67.0,69.0,68.0,68.0
2025-01-28 22:30:00,150.44,0.0,55.16666666666666,73.02666666666666,152.56,70.0,48.73,74.0,70.0,0.0,69.30333333333333,67.0,69.0,68.0,68.0
2025-01-28 22:45:00,152.56,0.0,55.5,82.89999999999999,152.56,70.0,60.06666666666666,74.0,70.0,0.0,69.05,67.0,69.0,68.0,68.0
2025-01-28 23:00:00,151.14666666666668,0.0,55.5,80.67999999999999,152.56,70.0,65.77666666666667,74.0,70.0,0.0,69.07666666666667,67.0,69.0,68.0,68.0
2025-01-28 23:15:00,152.56,0.0,55.16666666666666,90.16,152.56,70.0,74.55,74.0,70.0,0.0,69.03333333333335,67.0,69.0,68.0,68.0
2025-01-28 23:30:00,152.56,0.0,55.833333333333336,90.59,152.56,70.0,75.80333333333333,74.0,70.0,0.0,69.26666666666667,67.0,69.0,68.0,68.0
2025-01-28 23:45:00,151.14666666666668,0.0,56.16666666666666,91.22666666666667,152.56,70.0,78.89666666666666,74.0,70.0,0.0,69.36,67.0,69.0,68.0,68.0
2025-01-29 00:00:00,152.56,0.0,56.333333333333336,92.03666666666668,152.56,70.0,82.89999999999999,74.0,70.0,0.0,69.39,67.0,69.0,68.0,68.0
2025-01-29 00:15:00,151.85333333333332,0.0,56.333333333333336,92.85333333333334,152.56,70.0,86.75333333333333,74.0,70.0,0.0,69.41333333333334,67.0,69.0,68.0,68.0
2025-01-29 00:30:00,150.44,0.0,56.5,93.59333333333332,152.56,70.0,90.28000000000002,74.0,70.0,0.0,69.45666666666666,67.0,69.0,68.0,68.0
2025-01-29 00:45:00,151.85333333333332,0.0,57.0,93.94,152.56,70.0,92.2,74.0,70.0,0.0,69.53666666666668,67.0,69.0,68.0,68.0
2025-01-29 01:00:00,151.85333333333332,0.0,57.16666666666666,94.52,152.56,70.0,94.30666666666669,74.0,70.0,0.0,69.6,67.0,69.0,68.0,68.0
2025-01-29 01:15:00,150.44,0.0,57.333333333333336,94.46,152.56,70.0,96.43,74.0,70.0,0.0,69.58,67.0,69.0,68.0,68.0
2025-01-29 01:30:00,151.85333333333332,0.0,56.66666666666666,94.63333333333333,152.56,70.0,99.91333333333334,74.0,70.0,0.0,69.55666666666666,67.0,69.0,68.0,68.0
2025-01-29 01:45:00,149.02666666666667,0.0,56.833333333333336,94.56666666666666,152.56,70.0,100.0,74.0,70.0,0.0,69.56333333333333,67.0,69.0,68.0,68.0
2025-01-29 02:00:00,151.14666666666668,0.0,57.333333333333336,94.37333333333332,152.56,70.0,100.0,74.0,70.0,0.0,69.57333333333332,67.0,69.0,68.0,68.0
2025-01-29 02:15:00,150.44,0.0,57.0,94.56,152.56,70.0,100.0,74.0,70.0,0.0,69.63,67.0,69.0,68.0,68.0
2025-01-29 02:30:00,149.02666666666667,0.0,56.5,94.34,152.56,70.0,100.0,74.0,70.0,0.0,69.69666666666666,67.0,69.0,68.0,68.0
2025-01-29 02:45:00,149.02666666666667,0.0,57.16666666666666,94.52,152.56,70.0,100.0,74.0,70.0,0.0,69.63333333333333,67.0,69.0,68.0,68.0
2025-01-29 03:00:00,151.85333333333332,0.0,57.0,94.40333333333332,152.56,70.0,100.0,74.0,70.0,0.0,69.57333333333332,67.0,69.0,68.0,68.0
2025-01-29 03:15:00,151.14666666666668,0.0,56.333333333333336,94.49666666666668,152.56,70.0,100.0,74.0,70.0,0.0,69.64,67.0,69.0,68.0,68.0
2025-01-29 03:30:00,150.44,0.0,57.16666666666666,94.51,152.56,70.0,100.0,74.0,70.0,0.0,69.64333333333333,67.0,69.0,68.0,68.0
2025-01-29 03:45:00,150.44,0.0,56.66666666666666,94.63,152.56,70.0,100.0,74.0,70.0,0.0,69.68333333333334,67.0,69.0,68.0,68.0
2025-01-29 04:00:00,152.56,0.0,57.333333333333336,94.58666666666666,152.56,70.0,100.0,74.0,70.0,0.0,69.67333333333333,67.0,69.0,68.0,68.0
2025-01-29 04:15:00,150.44,0.0,57.0,94.39333333333332,152.56,70.0,100.0,74.0,70.0,0.0,69.57333333333332,67.0,69.0,68.0,68.0
2025-01-29 04:30:00,151.14666666666668,0.0,57.333333333333336,94.34,152.56,70.0,100.0,74.0,70.0,0.0,69.57,67.0,69.0,68.0,68.0
2025-01-29 04:45:00,152.56,0.0,57.66666666666666,94.37,152.56,70.0,100.0,74.0,70.0,0.0,69.67333333333333,67.0,69.0,68.0,68.0
2025-01-29 05:00:00,151.14666666666668,0.0,57.5,94.26,152.56,70.0,100.0,74.0,70.0,0.0,69.69666666666666,67.0,69.0,68.0,68.0
2025-01-29 05:15:00,151.14666666666668,0.0,57.16666666666666,93.96999999999998,152.56,70.0,100.0,74.0,70.0,0.0,69.65666666666667,67.0,69.0,68.0,68.0
2025-01-29 05:30:00,152.56,0.0,57.0,93.81333333333332,152.56,70.0,100.0,74.0,70.0,0.0,69.57333333333332,67.0,69.0,68.0,68.0
